,Title,SearchSource,Selected,C1,C2
,"“I am not only a disease, I am so much more”. Patients with rheumatic diseases’ experiences of an emotion-focused group intervention ",science,,,
,[Back cover],iee abstract,,,
,[Copyright notice - Volume 1],iee abstract,,,
,[Copyright notice],iee abstract,,,
,[Copyright notice],iee abstract,,,
,[Front cover],iee abstract,,,
,[Title page i],iee abstract,,,
,[Title page i],iee abstract,,,
,\BIM\ Implementation and Organisational Change: A Case Study of a Large Swedish Public Client ,science,,,
,\BPM\ Change Management ,science,,,
,\BPMN\ MUSIM: Approach to improve the domain expert’s efficiency in business processes modeling for the generation of specific software applications ,science,,,
,\COP\ prediction for the integration of a water purification process in a heat transformer: with and without energy recycling ,science,,,
,\ERP\ in agriculture: Lessons learned from the Dutch horticulture ,science,,,
,\ICT\ Infrastructure Created to Support CertiBPM Project and Training Program ,science,,,
,\IMPACTS\ \OF\ \INFORMATION\ \TECHNOLOGY\ \USE\ \IN\ \BUSINESS\ \SUPPORT\ \AGENCIES\ \SERVICES\ ,science,,,
,\INTEGRATED\ BATCH-TO-BATCH \ITERATIVE\ \LEARNING\ \CONTROL\ \AND\ \WITHIN\ \BATCH\ \CONTROL\ \OF\ \PRODUCT\ \QUALITY\ \FOR\ \BATCH\ \PROCESSES\ ,science,,,
,\INTERACTIVE\ \NEW\ \DESIGN\ \OF\ \TECHNOLOGY\ \AND\ \ORGANIZATION\ \WITH\ \JOINT\ \CONSIDERATION\ \OF\ \ECONOMIC\ \AND\ \SOCIAL\ CRITERIA: \THE\ \CASE\ \OF\ A \NEW\ \ROLLING\ \MILL\ \PLANT\ ,science,,,
,\IT\ induced business transformation in higher education: an analysis of the UniCafé experience and its implications ,science,,,
,\OK\ you are now an approved supplier—but you still do not get orders: Understanding the case of the P-Card ,science,,,
,\PLM\ education in production design and engineering by e-Learning ,science,,,
,\SBPMN\ — An easier business process modeling notation for business users ,science,,,
,\SSME\ Curricula: An Overview ,science,,,
,\THE\ \ADOPTION\ \OF\ \ENTERPRISE\ \RESOURCE\ \PLANNING\ (ERP) \SYSTEMS\ ,science,,,
,\TOTAL\ \QUALITY\ \MANAGEMENT\ \AND\ \THE\ \BALANCED\ \SCORECARD\ APPROACH: A \CRITICAL\ \ANALYSIS\ \OF\ \THEIR\ \POTENTIAL\ \RELATIONSHIPS\ \AND\ \DIRECTIONS\ \FOR\ \RESEARCH\ ,science,,,
,\UML\ Statechart Diagrams on the \ADONIS\ Metamodeling Platform ,science,,,
,20 - Sound ,science,,,
,39 - Preventive Quality Management ,science,,,
,4 - Intensive Knowledge-Based Enterprise Modelling ,science,,,
,4 - Practical \HR\ ,science,,,
,402-O. An Experiment in Process-oriented Training: Learning to Think Like an \ED\ Nurse ,science,,,
,A Balanced Performance Measurement Scorecard Approach for Product Service Systems,iee abstract,,,
,A Balanced Scorecard Approach to Perioperative Process Management: A Case Study Perspective,iee abstract,,,
,A best practice based approach to CASE-tool selection,iee abstract,,,
,A business process explorer: recovering and visualizing e-commerce business processes,acm,,,
,A Business Process Management Approach to Perioperative Supplies/Instrument Inventory and Workflow,iee abstract,,,
,A Business Process Management Approach to Surgical Instrument/Device Reprocessing and Tracking,iee abstract,,,
,A business process-oriented method of \KM\ solution design: A case study of Samsung Electronics ,science,,,
,A business-process-driven approach for generating E-commerce user interface,acm,,,
,A case study of an inter-enterprise workflow-supported supply chain management system ,science,,,
,A class of neural-network-based transducers for web information extraction ,science,,,
,A Co-training Strategy for Multiple View Clustering in Process Mining,iee abstract,,,
,A conceptual framework of serious games for higher education: Conceptual framework of the game INNOV8 to train students in business process modelling,iee abstract,,,
,A Conceptual Model for Adaptive \ERP\ Courses ,science,,,
,A contemporary science and engineering education program for 8th and 9th grade students,iee abstract,,,
,A cross-national comparison of the adoption of business process reengineering: fashion-setting networks? ,science,,,
,A fractal enterprise model and its application for business development,springer,,,
,A framework for automatic generation of evolvable e-commerce workplaces using business processes,acm,,,
,A framework for context-aware heterogeneous group decision making in business processes ,science,,,
,A framework for integrating learning into business processes,acm,Selected,,
,A framework for Knowledge Management System in higher learning institution: A case study of National University of Malaysia,iee abstract,,,
,A Framework for Monitoring and Evaluation of Learning Processes,springer,,,
,A Framework for Reflective Business Process Management,iee abstract,,,
,A framework to analyze argumentative knowledge construction in computer-supported collaborative learning ,science,,,
,A full lifecycle oriented examination transaction management system,iee abstract,Selected,,
,A fuzzy \AHP\ and \BSC\ approach for evaluating performance of \IT\ department in the manufacturing industry in Taiwan ,science,,,
,A Fuzzy AHP and BSC Approach for Evaluating Performance of a Software Company Based on Knowledge Management,iee abstract,,,
,A Fuzzy Paradigm Approach for Business Process Intelligence,iee abstract,,,
,A Generic Platform to Automate Legal Knowledge Work Process Using Machine Learning,iee abstract,,,
,A Human Factor Framework for Analysis of an Assembly Work ,science,,,
,A knowledge-based architecture for the management of patient-focused care pathways,springer,,,
,A learning perspective on the offshoring of advanced services ,science,,,
,A Logistic Service Provider Reference Model ,science,,,
,A method of intelligent recommendation using task ontology,springer,,,
,A method to infer the need to update situations in business process adaptation ,science,,,
,A method toward dynamic e-learning services modeling and the cooperative learning mechanism,springer,,,
,A Mixed Method Study on Teachers’ Diaries: Teachers’ Narratives and Value-added Patterns ,science,,,
,A model of integrating the cycle of construction knowledge flows: Lessons learned in Taiwan ,science,,,
,A Moodle-based e-learning framework to conduct the manipulation skill training for an enterprise resource planning system,iee abstract,,,
,A multi-channel stakeholder consultation process for transmission deregulation ,science,,,
,A neuropsychological theory of metaphor ,science,,,
,A novel approach for classifying customer complaints through graphs similarities in argumentative dialogues ,science,,,
,A novel approach for process mining based on event types,springer,,,
,A novel approach for process mining based on event types,springer,,,
,A practical model for technology and innovation management,iee abstract,,,
,A Prediction Framework for Proactively Monitoring Aggregate Process-Performance Indicators,iee abstract,,,
,A Procedural Model for the Production of Reusable and Standard-Compliant E-Learning Offerings,springer,,,
,A process component model for enterprise business knowledge reuse,iee abstract,,,
,A process for post-implementation \IT\ benchmarking ,science,,,
,A Process Oriented Approach to Automated Quality Control ,science,,,
,A process-driven e-learning content organization model,iee abstract,,,
,A proposal to use a balanced scorecard to evaluate Information for Health: an information strategy for the modern \NHS\ (1998–2005) ,science,,,
,A reflection of preservice teachers on e-portfolio assessment ,science,,,
,A Region of Proximal Learning model of study time allocation ,science,,,
,A RFID based knowledge management systems - an intelligent approach for managing logistics processes,iee abstract,,,
,A semantic approach to monitor business process,acm,,,
,A Semantic Web Services-based Infrastructure for Context-Adaptive Process Support,iee abstract,,,
,A semi-automatic system with an iterative learning method for discovering the leading indicators in business processes,acm,,,
,A software engineering subject on system description techniques,iee abstract,,,
,A Study on e-Government Policy in Mongolia,iee abstract,,,
,A system architecture based on open source enterprise content management systems for supporting educational institutions ,science,,,
,Accountability in Service-Oriented Architecture: Computing with Reasoning and Reputation,iee abstract,,,
,Achieving excellence in the global marketplace using knowledge-based simulation,iee abstract,,,
,Acquiring ERP Business Process Knowledge: A Network Structure Analysis,iee abstract,,,
,ActCPG framework to learn about information user requirements of a clinical practice guideline ,science,,,
,Actionable meta models to support inter organizational business processes modeling for e-services,acm,,,
,ActiveForms: A Runtime for Mobile Application Forms,iee abstract,,,
,Adaptation of the balanced scorecard model to the IT functions,iee abstract,,,
,Adaptive behaviour and feedback processing integrate experience and instruction in reinforcement learning ,science,,,
,Adoption of Web-based Group Decision Support Systems: Conditions for Growth ,science,,,
,Advancing learning goals: using simulation to teach business processes design and improvement,acm,,,
,Agent-assisted supply chain management: Analysis and lessons learned ,science,,,
,Agility Based on Stakeholder Interaction – Blending Organizational Learning with Interactive BPM,springer,,,
,Aligning \BPR\ to strategy: a framework for analysis ,science,,,
,An \ED\ Orientation/Fellowship: An Experiment in Process-Oriented Training and Learning to Think Like an Emergency Nurse ,science,,,
,An adaptive work distribution mechanism based on reinforcement learning ,science,,,
,An approach of design and implementation on SOA-based computer aided learning platform,iee abstract,,,
,An aspect-oriented extension to MiniJava and its implementation,iee abstract,,,
,An attempt of integration of teaching contents of the subjects ecological education and English as a foreign language ,science,,,
,An Automatic Approach for Extracting Process Knowledge from the Web,iee abstract,,,
,An Automatic Configuration Method for Teaching Management Process,iee abstract,,,
,An empirical investigation of information systems interoperability business value in European firms ,science,,,
,An empirical study of the effects of knowledge sharing and learning behaviors on firm performance ,science,,,
,An Empirical Study on Operational Efficiency of Chinese Listed Logistics Corporations,iee abstract,,,
,An experiential learning pedagogical framework for enterprise systems education in business schools ,science,,,
,An extended ontology-based context model and manipulation calculus for dynamic Web service processes,springer,,,
,An indoor location tracking based on mobile RFID for smart exhibition service,springer,,,
,An innovation model in curriculum design for teaching engineering at universidad EAFIT,iee abstract,Selected,,
,An Innovative Approach in Architectural Education: Designing a Utopia ,science,,,
,An Inquiry into the Spontaneous Transfer of Problem-Solving Skill ,science,,,
,An integrated course in fundamental engineering and English composition using interactive and process learning methodologies,iee abstract,,,
,An Integrated Courseware Usability Evaluation Method,springer,,,
,An integrated iterative learning control strategy with model identification and dynamic R-parameter for batch processes ,science,,,
,An intelligent composite system for statistical process control ,science,,,
,An Overall Lifecycle Modeling Method for E-Learning Services and the Cooperative Mechanism Based on PCDA,iee abstract,Selected,,
,Analysis of Active Learning Activities Transitions and Patterns in Process Oriented Guided Inquiry Learning (POGIL),iee title,,,
,Anonymous Credential-Based Privacy-Preserving Identity Verification for Business Processes,iee abstract,,,
,Anxiety–performance relationships in climbing: a process-oriented approach ,science,,,
,APOSDLE - advanced process-oriented self-directed learning environment,iee title,,,
,Application of GRID Computating and Workflow Technology in E-Commerce Learning,iee abstract,,,
,Application of Information Processes Applicative Modelling to Virtual Machines Auto Configuration ,science,,,
,Application of linguistic techniques for Use Case analysis,iee abstract,,,
,Applying the concepts of extended products and extended enterprises to support the activities of dynamic supply networks in the agri-food industry ,science,,,
,Approaches to teaching: Current opinions and related research ,science,,,
,Arc welding seam tracking system based on artificial neural networks,iee abstract,,,
,Architecting and Managing Virtual Learning Networks:: A Business Process-orientated Approach to Legal Compliance ,science,,,
,Architectural design of a LMS with LTSA-conformance,springer,,,
,Architectural pattern to improve the definition and implementation of eLearning ecosystems ,science,,,
,Architecture modeling and design for university freshmen data acquisition system,iee abstract,,,
,Architecture-centered enterprise system development and integration based on distributed object technology standard,iee abstract,,,
,Aspects of Didactic Communication in Primary School ,science,,,
,Assessing refactorings for usability in e-commerce applications,springer,,,
,Assessment design for mathematics web project-based learning,iee abstract,,,
,Assessment of \TEOG\ Examination Success: Topsis Multi-Criteria Decision-Making Method Practice ,science,,,
,Assigning Process-Oriented Roles in Concept Mapping Mediated Online Group Learning,iee title,,,
,Attuning a mobile simulation game for school children using a design-based research approach ,science,,,
,Augmenting process elicitation with visual priming: An empirical exploration of user behaviour and modelling outcomes ,science,,,
,Auto-Adapted Long-Distance Education System Model Based on Multi-agent,iee abstract,,,
,Automation Working Place Head of Department ,science,,,
,AVIS: a connectionist-based framework for integrated auditory and visual information processing ,science,,,
,Balanced Scorecard as an Issue Taught in the Field of Industrial Engineering ,science,,,
,Balanced scorecard in higher education institutions: What should be consider?,iee abstract,,,
,Balanced scorecard perspective on change and performance: a study of selected Indian companies ,science,,,
,Benchmarking technology infrastructures for embarrassingly and non-embarrassingly parallel problems in biomedical domain,iee abstract,,,
,Beyond the rhetoric of problem-based learning: emancipatory limits and links with andragogy ,science,,,
,Big data: A requirements engineering perspective,iee abstract,,,
,BPM@KMU – Designing e-Learning for the Introduction of BPM in Small- and Medium-Sized Enterprises,springer,,,
,Breaking the rules: success and failure in groupware-supported business process reengineering ,science,,,
,Bridging the Gap Between E-Learning Modeling and Delivery Through the Transformation of Learnflows into Workflows,springer,Selected,,
,Budgeting and Anticipatory Management ,science,,,
,Building a Balanced Scorecard for a burn center ,science,,,
,Building a Global Brand: The Case of Wipro,iee abstract,,,
,Building a Holarchy Using Business Process-Oriented Holonic (PrOH) Modeling,iee abstract,,,
,Business process anomaly detection using ontology-based process modelling and Multi-Level Class Association Rule Learning,iee title,,,
,Business Process innovation: The LEGO Case,iee abstract,,,
,Business Process Learning for Real Time Enterprises,springer,,,
,Business process oriented learning: a collaborative approach of organisational learning,acm,,,
,Business Process Portfolio Management ,science,,,
,Business process redesign for effective e-commerce,acm,,,
,Business process reengineering and workflow automation: a technology transfer experience ,science,,,
,Business Process Reengineering as a Modernizing Tool for the Public Administration - From Theory to Reality,iee abstract,Selected,,
,Business process reengineering of cultivation of college students' comprehensive quality,iee abstract,,,
,"Business process reengineering: A tutorial on the concept, evolution, method, technology and application ",science,,,
,Business processes refactoring to improve usability in E-commerce applications,springer,,,
,"Business transformation, information technology and competitive strategies: learning to fly ",science,,,
,CAD/CAM Courses Integration of Theoretical Teaching and Practical Training ,science,,,
,Campus Management System,springer,,,
,Campus-Management-System,springer,,,
,Can differences in learning strategies explain the benefits of learning from static and dynamic visualizations? ,science,,,
,CASAM: collaborative human-machine annotation of multimedia,springer,,,
,Case Studies Business Information Systems Online / Corporate University,springer,,,
,CF4BPMN: A \BPMN\ Extension for Controlled Flexibility in Business Processes ,science,,,
,Challenges and rewards in the implementation of an ePortfolio project in a Higher Education Institution in Hong Kong,iee abstract,,,
,Change management at Mobil Oil Australia,iee abstract,,,
,Chapter 1 - Why Business Modeling? ,science,,,
,Chapter 10 - Business Model Analysis ,science,,,
,Chapter 11 - Conclusions: The Learning Health System of the Future ,science,,,
,Chapter 2 - Literature Review ,science,,,
,Chapter 24 - Prototyping with Visio ,science,,,
,Chapter 3 - Systems Dimensions ,science,,,
,Chapter 5 - Other Techniques and Tools ,science,,,
,Chapter 6 - Lessons learned from nearly 200 cases of \KM\ journeys by Hong Kong and Asian Enterprises ,science,,,
,Chapter 9 - Sustainable Innovation and the “Learning Drive” ,science,,,
,Climate change scenarios and citizen-participation: Mitigation and adaptation perspectives in constructing sustainable futures ,science,,,
,Co-variation between stressful events and rumination predicts depressive symptoms: An eighteen months prospective design in undergraduates ,science,,,
,Cognitive effects from process learning with computer-based simulations ,science,,,
,CoLearn: Real time collaborative learning environment,iee abstract,Selected,,
,Collaborative and workflow-oriented digital portfolio: Creating a web-based tool to support a nationwide program of practices evaluation in the blood transfusion area ,science,,,
,Collaborative learning in the clouds,springer,,,
,Collaborative learning using service-oriented architecture: A framework design ,science,Selected,,
,Collective intelligence as a framework for supply chain management,iee abstract,,,
,"Collectively engaging complex socio-ecological systems: re-envisioning science, governance, and the California Delta ",science,,,
,Combining qualitative evaluation and social network analysis for the study of classroom social interactions ,science,,,
,"Combining structural, process-oriented and textual elements to generate awareness indicators for graphical e-discussions",acm,,,
,Comparing and Combining Predictive Business Process Monitoring Techniques,iee abstract,,,
,Competency-Based Model Through It: An Action Research Project,springer,,,
,Competency-Based Resident Education ,science,,,
,Complementing AHP with Habitual Domains Theory to Identify Key Performance Indicators for Service Industry,iee abstract,,,
,Comprehensive e-Learning system based on Islamic principles,iee abstract,,,
,Computer supported collaborative learning,acm,,,
,Computer-based process-genre approach in English composition writing,iee abstract,,,
,Congruence and friction between learning and teaching ,science,,,
,Construção do manual de processos de trabalho e técnicas do Centro de Dispensação de Medicamentos de Alto Custo (CEDMAC) do Hospital de Clínicas da Unicamp ,science,,,
,Constructing a strategy map for banking institutions with key performance indicators of the balanced scorecard ,science,,,
,"Construction and Implementation of the ""434' Network Professional Practice Teaching Model under the Regional Environments",iee abstract,,,
,"Construction of a manual of work processes and techniques from Centro de Dispensação de Medicamentos de Alto Custo (CEDMAC), Hospital de Clínicas, Unicamp ",science,,,
,Construction of performance management system based on balanced scorecard for exhibition company,iee abstract,,,
,Contents,iee abstract,,,
,Context-aware Process Support through Automatic Selection and Invocation of Semantic Web Services,iee abstract,,,
,Continuous monitoring of business process controls: A pilot implementation of a continuous auditing system at Siemens ,science,,,
,Converting knowledge into sustainability performance of freight villages,springer,,,
,Coordination routines behind knowledge intensive work processes,iee abstract,,,
,"Corporate Knowledge Discovery and Organizational Learning: The Role, Importance, and Application of Semantic Business Process Management—The ProKEX Case",springer,,,
,Corpus-based teaching in writing class of English majors,iee abstract,,,
,Creating a Learner Centric Environment through POGIL: Our Experience in Engineering and Management Education in India,iee abstract,,,
,Creative Strategy: A Pilot Evaluation of a Hypothetical Learning Model through Public Speaking Performance ,science,,,
,Critical Review of Approaches to Foreign Language Syllabus Design: Task-Based Syllabus (A Shortcut) ,science,,,
,DAI-DEPUR: an integrated and distributed architecture for wastewater treatment plants supervision ,science,,,
,Data-driven Based Integrated Learning Controller Design for Batch Processes ,science,,,
,Decision mining for multi choice workflow patterns,iee abstract,,,
,Decision support system for increasing sustainable productivity on fishery agroindustry supply chain,iee abstract,,,
,Decision support system for the management of systems change ,science,,,
,Definition of standards-based building blocks for multimedia content management,springer,,,
,Der Workflow in der Pathologie,springer,,,
,Design and application of practical teaching framework of ERP course,iee abstract,,,
,Design rationale and maintainability,iee abstract,,,
,Designing a knowledge-based system for strategic planning: A balanced scorecard perspective ,science,,,
,Designing a mixed performance measurement system for environmental supply chain management using evolutionary game theory and balanced scorecard: A case study of an auto industry supply chain ,science,,,
,Designing for interaction: Six steps to designing computer-supported group-based learning ,science,,,
,Developing a Multidimensional Performance of Zakat Collection System in East Coast Region ,science,,,
,Developing an Enterprise Architecture Proof of Concept in a Portuguese Hospital ,science,,,
,Developing Maturity Models for IT Management,springer,,,
,Developing strategic measurement and improvement for the biopharmaceutical firm: Using the \BSC\ hierarchy ,science,,,
,Development of a structured process-oriented collaborative English essay writing support system,iee abstract,,,
,"Discovery, visualization and performance analysis of enterprise workflow ",science,,,
,Discrete Modeling and Simulation of Business Processes Using Event Logs ,science,,,
,Document-oriented heterogeneous business process integration through collaborative e-marketplace,acm,,,
,Dynamic testing and transfer: An examination of children's problem-solving strategies ,science,,,
,E-business's impact on organizational flexibility ,science,,,
,e-learning Activities in Educating e-business: a Pilot with a Process-Oriented e-learning Environment,springer,Selected,,
,E-learning Design: An Integrated Agent-Grid Service Architecture,iee abstract,,,
,E-Learning Maturity Model – Process-Oriented Assessment and Improvement of e-Learning in a Finnish University of Applied Sciences,springer,,,
,E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,springer,,,
,e-procurement for increasing business process agility,acm,,,
,E-Sri Lanka as a Deliberate and Emergent Strategy Process,springer,,,
,Eating Disorder Nutrition Counseling: Strategies and Education Needs of English-Speaking Dietitians in Canada ,science,,,
,eBPSM: a new security paradigm for e-business organisations (e-business process security model),acm,,,
,"Education quality, and teaching and learning in the post-2015 education agenda ",science,,,
,Effects of Innovation Strategy on Firm Performance: A Study Conducted on Manufacturing Firms in Turkey ,science,,,
,Effects of Innovation Types on Performance of Manufacturing Firms in Turkey ,science,,,
,"Effects of mental process integrated nursing training using mobile device on students’ cognitive load, learning attitudes, acceptance, and achievements ",science,,,
,Efficient adaptive QoS-based service selection,springer,,,
,Electronic monolingual dictionaries as language learning aids: A case study ,science,,,
,Enhancing participant business process perception through business gaming,iee abstract,Selected,,
,"Enterprise, applications and services in the finance industry",springer,,,
,Entwicklung von Reifegradmodellen für das IT-Management,springer,,,
,eParticipative Process Learning––process-oriented experience management and conflict solving ,science,,,
,Epilogue: Practical Bioethics ,science,,,
,Equitable ecology: collaborative learning for local benefit in Amazonia ,science,,,
,Essential skills for creative writing: Integrating multiple domain-specific perspectives ,science,,,
,Evaluating performance in the development of software-intensive products ,science,,,
,Evaluating the impact of Knowledge Management adoption on Supply Chain performance by BSC-FANP approach: An empirical case study ,science,,,
,Evaluation Indicator System of Regional Vehicle Marketing Team Performance with Delphi,iee abstract,,,
,Evaluation of the online assessment test using process mining (Case Study: Intensive English Center),iee abstract,,,
,EVM: Lifelong reinforcement and self-learning,iee abstract,,,
,Evolutionary Design of Collaborative Learning Processes through Reflective Petri Nets,iee abstract,,,
,"Examining learning from text and pictures for different task types: Does the multimedia effect differ for conceptual, causal, and procedural tasks? ",science,,,
,Executable product models - The intelligent way,iee abstract,,,
,Experiments in Ubiquitous Computing for Communities of Practice Using Learning Resources,iee abstract,,,
,Expert Activities Automation through Enhanced Business Services Orchestration,springer,,,
,Exploring Strategic Thinking Skills in Process Oriented Task in \ESL\ Classroom ,science,,,
,Exploring the Cognitive Apprenticeship Approach for Teaching Introductory Software Engineering,iee abstract,,,
,Exploring the Nature and Implementation Process of User-Centric Business Models ,science,,,
,Facilitating Business Process Improvement through Personalized Recommendation,springer,,,
,Facilitating Knowledge Transfer in IANES - A Transactive Memory Approach,springer,,,
,Fads and Trends in Business and Information Systems Engineering and Information Systems Research – A Comparative Literature Analysis,springer,,,
,Formal concept analysis: current trends and directions,springer,,,
,Formal process modelling ,science,,,
,From cacophony to harmony: A case study about the \IS\ implementation process as an opportunity for organizational transformation at Sentara Healthcare ,science,,,
,From text to graphical summary: A product- and process oriented assessment to explore the development in fifth and sixth graders' dynamic construction ,science,,,
,Fundamentals of product ecosystem design for user experience,springer,,,
,GA based dynamic spectrum allocation in UHF-ISM band of 902–928MHz with RADAR as primary user for cognitive radio,iee abstract,,,
,Global IT and IT-enabled services,springer,,,
,Guideline validation in multiple trauma care through business process modeling ,science,,,
,Guiding situated method transfer in design and evaluation,springer,,,
,Holistic Approach of Lean Thinking in Learning Factories ,science,,,
,"Holistic Learning Factories – A Concept to Train Lean Management, Resource Efficiency as Well as Management and Organization Improvement Skills ",science,,,
,How Does the Enterprise Implement Business Process Reengineering Management,iee abstract,,,
,How students describe the sources of their emotional and motivational experiences during the learning process: A qualitative approach ,science,,,
,How to bridge between natural and social sciences? An analysis of three approaches to transdisciplinary from the Swiss and German field of environmental research ,science,,,
,How to improve compliance in \RA\ = Interest of an educational program ,science,,,
,How to review journal manuscripts: A lesson learnt from the world's excellent reviewers ,science,,,
,IMIS: a tool for developing MIS for Internet/intranet environment,iee abstract,,,
,Impact of Business Service Modes on Distribution Systems: A Reinforcement Learning Approach,iee abstract,,,
,Impact of ERP investment on company performance: Evidence from manufacturing firms in China,iee abstract,,,
,Impacts of electronic process guides by types of user: An experimental study ,science,,,
,Implementation of an executable business process management model for the ship hull production design process,springer,,,
,Implementation of knowledge management in organizations,springer,,,
,Incorporating collaborative technologies into university curricula: lessons learned,springer,,,
,Information Security Management (ISM) Practices: Lessons from Select Cases from India and Germany,springer,,,
,Information system analysis of an e-learning system used for dental restorations simulation ,science,,,
,Innovation in teaching and learning using service oriented approach,iee abstract,,,
,Instructional design in the vocational training on “computer networking”,iee abstract,Selected,,
,Instructional implications for adopting mobile technology in the teaching and learning of writing in English in international joint educational programs in Wuhan Polytechnic,iee abstract,,,
,Integrated catchment management: Is it wishful thinking or can it succeed? ,science,,,
,Integrating Automatic Data Acquisition with Business Processes Experiences with SAP's Auto-ID Infrastructure ,science,,,
,Integrating cluster and sequential analysis to explore learners’ flow and behavioral patterns in a simulation game with situated-learning context for science courses: A video-based process exploration ,science,,,
,Integrating hierarchical balanced scorecard with fuzzy linguistic for evaluating operating room performance in hospitals ,science,,,
